size,quicksort_time,quicksort_time_stddev,quicksort_comparison,quicksort_comparison_stddev,quicksort_swap,quicksort_swap_stddev,quicksort_tail_op_time,quicksort_tail_op_time_stdev,quicksort_tail_op_comparison,quicksort_tail_op_comparison_stddev,quicksort_tail_op_swap,quicksort_tail_op_swap_stdev,heapsort_time,heapsort_time_stddev,heapsort_comparison,heapsort_comparison_stddev,heapsort_swap,heapsort_swap_stddev
8600000,1189.112100,4.744739,261655200.700000,6062608.230395,130779134.000000,6300901.378939,1187.610700,6.822511,261655249.700000,6062607.696079,130779134.000000,6300901.378939,5776.138300,118.695872,584290963.200000,5270.614477,190463654.400000,1756.871492
8700000,1199.387900,3.519176,262199428.800000,3457250.736965,132075888.600000,3901623.604137,1195.968000,3.848557,262199478.100000,3457253.697701,132075888.600000,3901623.604137,5874.854800,114.931742,591562661.400000,7158.438771,192837553.800000,2386.146257
8800000,1216.715700,8.386949,269750679.200000,6221522.993683,135918966.200000,6027183.747645,1214.845200,9.044051,269750729.300000,6221525.011991,135918966.200000,6027183.747645,5962.689100,129.107665,598844131.500000,6899.443315,195214710.500000,2299.814438
8900000,1237.385300,9.013770,271448651.400000,5093750.370495,136275091.500000,5038468.350306,1234.325900,9.075346,271448699.700000,5093749.403276,136275091.500000,5038468.350306,6050.926700,128.506643,606123763.500000,5636.103800,197591254.500000,1878.701267
9000000,1256.603500,24.955218,274970540.900000,6446978.570653,137206834.800000,6498068.144764,1251.283900,18.850864,274970588.200000,6446980.704184,137206834.800000,6498068.144764,6117.594800,129.883155,613413616.200000,4429.655625,199971205.400000,1476.551875
9100000,1264.339600,5.971900,276135134.600000,2882229.340193,138712683.200000,4983148.262768,1262.840300,7.275212,276135185.500000,2882229.433632,138712683.200000,4983148.262768,6210.648600,130.643860,620700541.200000,10113.659889,202350180.400000,3371.219963
9200000,1275.661700,7.606843,281916608.700000,5509087.094955,141915200.900000,7718868.427509,1273.819700,9.157353,281916658.700000,5509089.047328,141915200.900000,7718868.427509,6319.853700,139.042600,628001312.400000,4926.266704,204733770.800000,1642.088901
9300000,1290.441400,7.013238,283113836.500000,5260803.972975,140867743.500000,5152076.103755,1300.359200,42.978220,283113886.100000,5260805.924727,140867743.500000,5152076.103755,6379.128300,139.436665,635292692.400000,5585.216078,207114230.800000,1861.738693
9400000,1306.202300,5.828410,286405454.300000,5403791.924705,145499081.300000,4924831.907686,1303.577200,5.324499,286405500.800000,5403793.269039,145499081.300000,4924831.907686,6491.397100,144.386373,642603045.900000,5482.362072,209501015.300000,1827.454024
9500000,1319.402000,6.972115,290943626.200000,4722761.890609,144704432.200000,4668559.905668,1318.573000,7.697608,290943676.700000,4722761.601040,144704432.200000,4668559.905668,6584.355500,149.324762,649907261.700000,5721.228016,211885753.900000,1907.076005
9600000,1338.318300,8.012018,295468830.300000,6213831.041777,147436764.800000,5345600.539149,1338.780500,6.672127,295468877.600000,6213833.802524,147436764.800000,5345600.539149,6688.712900,132.429658,657225236.100000,5363.851852,214275078.700000,1787.950617
9700000,1347.371400,5.152671,300455833.700000,8753720.945716,148664519.200000,4418513.984276,1344.598000,6.504669,300455885.500000,8753724.227997,148664519.200000,4418513.984276,6778.982800,162.593407,664535463.600000,6097.436169,216661821.200000,2032.478723
9800000,1367.555800,6.649623,299343611.500000,4053008.630287,150141447.300000,5635581.220304,1367.081900,7.453904,299343661.600000,4053007.814218,150141447.300000,5635581.220304,6875.140800,169.671188,671853032.100000,3791.676027,219051010.700000,1263.892009
9900000,1382.497800,8.461432,303826588.900000,7856161.493309,151427419.800000,6394080.712854,1392.920900,36.860852,303826638.400000,7856163.226558,151427419.800000,6394080.712854,6915.400400,140.387452,679178211.900000,7487.058120,221442737.300000,2495.686040
10000000,1392.065000,10.174622,310044247.100000,7833024.316044,156675438.200000,7813709.225638,1390.315100,10.548042,310044296.000000,7833026.661260,156675438.200000,7813709.225638,7022.580500,162.854632,686502186.600000,8414.880192,223834062.200000,2804.960064
